# WadsRadio station list: Metro Vancouver plus CBC national/regional feeds
# Columns: station name, stream URL, volume offset, stream type, logo URL
# WadsRadio supports direct streams and HLS .m3u8 streams; the optional fifth column points at a local or remote station logo.

# Metro Vancouver
CBC Radio One Grand Falls-Windsor	https://cbcradiolive.akamaized.net/hls/live/2041046/ES_R1NGN/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Halifax	https://cbcradiolive.akamaized.net/hls/live/2040987/ES_R1AHF/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Happy Valley-Goose Bay	https://cbcradiolive.akamaized.net/hls/live/2041045/ES_R1NGB/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Inuvik	https://cbcradiolive.akamaized.net/hls/live/2041042/ES_R1MNN/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Iqaluit / CBC North	https://cbcradiolive.akamaized.net/hls/live/2040993/ES_R1EIQ/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Kamloops	https://cbcradiolive.akamaized.net/hls/live/2041048/ES_R1PKP/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Kelowna	https://cbcradiolive.akamaized.net/hls/live/2041047/ES_R1PKE/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Kingston	https://cbcradiolive.akamaized.net/hls/live/2040994/ES_R1EKI/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Kitchener-Waterloo	https://cbcradiolive.akamaized.net/hls/live/2040995/ES_R1EKW/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One London	https://cbcradiolive.akamaized.net/hls/live/2041029/ES_R1ELD/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Moncton	https://cbcradiolive.akamaized.net/hls/live/2040989/ES_R1AMC/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Montreal	https://cbcradiolive.akamaized.net/hls/live/2041030/ES_R1EMT/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Nord Quebec	https://cbcradiolive.akamaized.net/hls/live/2040992/ES_R1ECB/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Ottawa	https://cbcradiolive.akamaized.net/hls/live/2041037/ES_R1ETT/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Peterborough	https://cbcradiolive.akamaized.net/hls/live/2041033/ES_R1ERI1/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Prince George	https://cbcradiolive.akamaized.net/hls/live/2041049/ES_R1PPR/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Quebec City	https://cbcradiolive.akamaized.net/hls/live/2041031/ES_R1EQQ/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Regina	https://cbcradiolive.akamaized.net/hls/live/2041053/ES_R1SRE/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Saint John	https://cbcradiolive.akamaized.net/hls/live/2040988/ES_R1ASB/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Saskatoon	https://cbcradiolive.akamaized.net/hls/live/2041054/ES_R1SSA/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One St. John's	https://cbcradiolive.akamaized.net/hls/live/2037435/ES_R1NSN/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Sudbury	https://cbcradiolive.akamaized.net/hls/live/2041034/ES_R1ESU/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Sydney	https://cbcradiolive.akamaized.net/hls/live/2041043/ES_R1MNS/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Thunder Bay	https://cbcradiolive.akamaized.net/hls/live/2041035/ES_R1ETH/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Toronto	https://cbcradiolive.akamaized.net/hls/live/2041036/ES_R1ETR/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Victoria	https://cbcradiolive.akamaized.net/hls/live/2041051/ES_R1PVI/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Whitehorse	https://cbcradiolive.akamaized.net/hls/live/2041052/ES_R1PWH/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Windsor	https://cbcradiolive.akamaized.net/hls/live/2041038/ES_R1EWD/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Winnipeg	https://cbcradiolive.akamaized.net/hls/live/2040991/ES_R1CWP/master.m3u8	0	hls	/station-logos/cbc.svg
CBC Radio One Yellowknife	https://27033.live.streamtheworld.com/CFYKFM_CBC_SC	0	direct	/station-logos/cbc.svg
